frame_id,timestamp,x,y,z,target_yaw,target_pitch,distance,armor_orientation_yaw
1,33.33,0.171498,0.444379,2.254,0.0759399,0.194108,2.30378,0.482142
2,66.66,0.129554,0.449974,2.27573,0.056867,0.194901,2.32341,0.280139
4,133.32,-0.00444923,0.435499,2.19422,-0.0020277,0.195929,2.23703,-0.20738
6,199.98,0.275006,0.430295,2.37264,0.115392,0.178239,2.42698,0.827978
7,233.31,0.244687,0.411598,2.25892,0.1079,0.179207,2.30911,0.773977
8,266.64,0.189161,0.404895,2.21924,0.0850313,0.179825,2.26379,0.564496
9,299.97,0.136876,0.40507,2.22041,0.0615666,0.180111,2.26121,0.357976
10,333.3,0.065452,0.381152,2.0727,0.0315676,0.181771,2.10847,-0.439046
11,366.63,-0.0183617,0.411797,2.24609,-0.00817476,0.18132,2.2836,-0.00753754
12,399.96,-0.0857609,0.40777,2.2373,-0.0383136,0.180152,2.27577,-0.396686
13,433.29,-0.137576,0.405174,2.23085,-0.0615917,0.179331,2.27152,-0.617287
14,466.62,-0.192743,0.412548,2.28843,-0.0840265,0.177744,2.3333,-0.834769
15,499.95,0.16513,0.432308,2.21569,0.0743899,0.192171,2.2635,0.50181
20,666.6,-0.133102,0.443196,2.27467,-0.0584484,0.192109,2.32126,-0.486353
20,666.6,0.274965,0.40452,2.37278,0.115368,0.167759,2.42267,0.978562
21,699.93,-0.188294,0.447592,2.31006,-0.0813306,0.190769,2.36054,-0.782065
21,699.93,0.228091,0.392898,2.29359,0.0991212,0.168839,2.33815,0.759424
22,733.26,-0.217174,0.443179,2.30191,-0.0940669,0.189379,2.35422,-0.955757
22,733.26,0.184399,0.37733,2.19448,0.0838313,0.169693,2.23431,0.638779
23,766.59,0.137575,0.40612,2.35506,0.0583503,0.170481,2.39378,0.205005
24,799.92,0.114811,0.39021,2.25379,0.0508975,0.171218,2.2902,0.276438
25,833.25,-0.136132,0.384412,2.23969,-0.0607068,0.169673,2.27651,-0.683133
25,833.25,0.26847,0.456962,2.34421,0.114028,0.191298,2.40337,0.90942
26,866.58,0.148525,0.427234,2.16266,0.0685695,0.194592,2.20946,0.501344
27,899.91,0.0883487,0.435866,2.20135,0.0401123,0.195318,2.24583,-0.309547
29,966.57,-0.0142584,0.440047,2.21736,-0.00643024,0.195906,2.26065,-0.21152
31,1033.23,-0.108767,0.436534,2.18804,-0.0496689,0.196687,2.23381,-0.544139
32,1066.56,0.244088,0.410631,2.25324,0.107907,0.179236,2.30332,0.776211
33,1099.89,0.203562,0.384839,2.10281,0.096504,0.180184,2.14741,0.684131
34,1133.22,0.152596,0.399276,2.18789,0.0696327,0.180079,2.22926,0.461335
35,1166.55,0.0973052,0.397521,2.17575,0.0446928,0.180535,2.21391,0.299473
36,1199.88,0.0531173,0.400263,2.18705,0.0242824,0.18096,2.22401,0.0285272
37,1233.21,-0.0177205,0.406357,2.21412,-0.00800323,0.181505,2.25117,0.183807
40,1333.2,-0.165118,0.395979,2.18979,-0.0752609,0.1784,2.23143,-0.77098
41,1366.53,-0.218588,0.416489,2.31948,-0.0939628,0.176901,2.36669,-0.955796
42,1399.86,0.142835,0.422443,2.15677,0.0661299,0.193007,2.20239,0.491002
46,1533.18,-0.0783468,0.436897,2.23744,-0.035002,0.192725,2.28104,-0.335496
47,1566.51,-0.118479,0.450166,2.30882,-0.051271,0.192314,2.35528,-0.411937
48,1599.84,0.249291,0.399036,2.33151,0.106518,0.168564,2.37851,0.849147
49,1633.17,-0.21718,0.442497,2.29883,-0.0941949,0.189339,2.35108,-0.96547
49,1633.17,0.184382,0.3782,2.19957,0.0836308,0.169694,2.23945,0.636143
50,1666.5,0.141303,0.392769,2.2757,0.0620123,0.170587,2.31366,0.360688
51,1699.83,0.0875845,0.39657,2.2934,0.0381712,0.171102,2.32908,-0.068825
52,1733.16,0.0488635,0.394276,2.28119,0.0214169,0.171108,2.31553,-0.0369805
53,1766.49,0.00983047,0.387295,2.24142,0.00438579,0.171099,2.27466,-0.102307
54,1799.82,-0.0895215,0.383775,2.2339,-0.0400527,0.170002,2.26839,-0.499021
55,1833.15,-0.135195,0.378648,2.206,-0.0612088,0.169676,2.24234,-0.706155
55,1833.15,0.266604,0.45581,2.33454,0.113707,0.191606,2.39352,0.903119
56,1866.48,-0.171798,0.386231,2.25651,-0.0759878,0.16904,2.29576,-0.848906
57,1899.81,-0.225159,0.415708,2.44563,-0.0918068,0.167674,2.49091,-1.03577
58,1933.14,0.15151,0.441845,2.23554,0.0676696,0.194695,2.28382,0.409259
59,1966.47,0.0778911,0.43594,2.20212,0.0353562,0.195318,2.24621,-0.304933
60,1999.8,0.0225384,0.420397,2.11814,0.0106402,0.195917,2.15958,0.257499
61,2033.13,-0.00701733,0.440636,2.22036,-0.00316044,0.195906,2.26367,-0.225766
63,2099.79,0.278339,0.427681,2.36391,0.117205,0.177783,2.41836,0.864782
64,2133.12,0.235198,0.409991,2.24576,0.104349,0.179612,2.29496,0.737017
65,2166.45,0.177793,0.403941,2.21215,0.0801987,0.180043,2.25574,0.514759
66,2199.78,0.134895,0.407453,2.23358,0.0603205,0.180116,2.27445,0.339754
67,2233.11,0.0498768,0.396049,2.16166,0.0230693,0.181158,2.19821,-0.00246759
68,2266.44,-0.0203634,0.400955,2.18703,-0.00931069,0.181312,2.22358,0.268621
69,2299.77,-0.0785151,0.404446,2.21722,-0.0353967,0.180317,2.25517,-0.39664
70,2333.1,-0.135137,0.414962,2.28307,-0.059122,0.179486,2.3244,-0.533517
71,2366.43,-0.17808,0.404734,2.24246,-0.0792464,0.178016,2.28564,-0.795317
72,2399.76,-0.220817,0.417086,2.3241,-0.0947276,0.176791,2.37153,-0.966827
78,2599.74,-0.130877,0.425858,2.18602,-0.0597987,0.192065,2.23095,-0.615062
78,2599.74,0.275805,0.408664,2.3947,0.114668,0.167936,2.44493,0.956033
79,2633.07,-0.182554,0.443546,2.28586,-0.079693,0.191064,2.33564,-0.75961
79,2633.07,0.233924,0.396981,2.31782,0.100584,0.168787,2.36317,0.759155
80,2666.4,-0.22249,0.449539,2.33755,-0.0948949,0.189158,2.39076,-0.967825
80,2666.4,0.180719,0.376227,2.1883,0.0823968,0.169695,2.22775,0.629259
